run_id,sweep_key,sweep_value,model_name,seed,n_samples,anomaly_ratio,label_noise,pr_auc,recall_anomaly,precision_anomaly,f1_anomaly,accuracy,tn,fp,fn,tp
anomaly_ratio_0.05_seed_4_svm,anomaly_ratio,0.05,svm,4,1000,0.05,0.05,0.6007469445254806,0.42857142857142855,0.9230769230769231,0.5853658536585366,0.9433333333333334,271,1,16,12
anomaly_ratio_0.05_seed_4_vqc_1,anomaly_ratio,0.05,vqc_1,4,1000,0.05,0.05,0.07549371132321248,0.21428571428571427,0.07058823529411765,0.10619469026548672,0.6633333333333333,193,79,22,6
anomaly_ratio_0.05_seed_3_vqc_4,anomaly_ratio,0.05,vqc_4,3,1000,0.05,0.05,0.20445410456313978,0.3103448275862069,0.17647058823529413,0.225,0.7933333333333333,229,42,20,9
anomaly_ratio_0.05_seed_3_vqc_3,anomaly_ratio,0.05,vqc_3,3,1000,0.05,0.05,0.45464713200850804,0.3448275862068966,1.0,0.5128205128205128,0.9366666666666666,271,0,19,10
anomaly_ratio_0.05_seed_3_vqc_2,anomaly_ratio,0.05,vqc_2,3,1000,0.05,0.05,0.2020239194916295,0.0,0.0,0.0,0.9033333333333333,271,0,29,0
anomaly_ratio_0.05_seed_3_random_forest,anomaly_ratio,0.05,random_forest,3,1000,0.05,0.05,0.5980503605152072,0.4827586206896552,1.0,0.6511627906976745,0.95,271,0,15,14
anomaly_ratio_0.05_seed_3_svm,anomaly_ratio,0.05,svm,3,1000,0.05,0.05,0.6197834307272745,0.5172413793103449,1.0,0.6818181818181818,0.9533333333333334,271,0,14,15
anomaly_ratio_0.05_seed_3_vqc_1,anomaly_ratio,0.05,vqc_1,3,1000,0.05,0.05,0.09154577317681589,0.06896551724137931,0.028169014084507043,0.04,0.68,202,69,27,2
anomaly_ratio_0.05_seed_1_vqc_4,anomaly_ratio,0.05,vqc_4,1,1000,0.05,0.05,0.09703736792596743,0.07142857142857142,0.0425531914893617,0.05333333333333334,0.7633333333333333,227,45,26,2
anomaly_ratio_0.05_seed_1_vqc_3,anomaly_ratio,0.05,vqc_3,1,1000,0.05,0.05,0.18211877135832888,0.14285714285714285,0.25,0.18181818181818182,0.88,260,12,24,4
anomaly_ratio_0.05_seed_1_vqc_2,anomaly_ratio,0.05,vqc_2,1,1000,0.05,0.05,0.14546643124206923,0.0,0.0,0.0,0.9066666666666666,272,0,28,0
anomaly_ratio_0.05_seed_1_random_forest,anomaly_ratio,0.05,random_forest,1,1000,0.05,0.05,0.5597124241685704,0.5,0.9333333333333333,0.6511627906976745,0.95,271,1,14,14
anomaly_ratio_0.05_seed_1_svm,anomaly_ratio,0.05,svm,1,1000,0.05,0.05,0.5875879127644977,0.4642857142857143,0.9285714285714286,0.6190476190476191,0.9466666666666667,271,1,15,13
anomaly_ratio_0.05_seed_1_vqc_1,anomaly_ratio,0.05,vqc_1,1,1000,0.05,0.05,0.09572778086031794,0.21428571428571427,0.0821917808219178,0.1188118811881188,0.7033333333333334,205,67,22,6
anomaly_ratio_0.05_seed_0_vqc_4,anomaly_ratio,0.05,vqc_4,0,1000,0.05,0.05,0.12584114175414446,0.20689655172413793,0.1935483870967742,0.2,0.84,246,25,23,6
anomaly_ratio_0.05_seed_0_vqc_3,anomaly_ratio,0.05,vqc_3,0,1000,0.05,0.05,0.2895532245730883,0.1724137931034483,1.0,0.29411764705882354,0.92,271,0,24,5
anomaly_ratio_0.05_seed_0_vqc_2,anomaly_ratio,0.05,vqc_2,0,1000,0.05,0.05,0.12129683464734492,0.0,0.0,0.0,0.9033333333333333,271,0,29,0
anomaly_ratio_0.05_seed_0_random_forest,anomaly_ratio,0.05,random_forest,0,1000,0.05,0.05,0.5149073108157349,0.3448275862068966,1.0,0.5128205128205128,0.9366666666666666,271,0,19,10
anomaly_ratio_0.05_seed_0_svm,anomaly_ratio,0.05,svm,0,1000,0.05,0.05,0.49201527940375617,0.3448275862068966,0.9090909090909091,0.5,0.9333333333333333,270,1,19,10
anomaly_ratio_0.05_seed_0_vqc_1,anomaly_ratio,0.05,vqc_1,0,1000,0.05,0.05,0.11129294231088452,0.3448275862068966,0.10869565217391304,0.1652892561983471,0.6633333333333333,189,82,19,10
anomaly_ratio_0.1_seed_2_vqc_4,anomaly_ratio,0.1,vqc_4,2,1000,0.1,0.05,0.15424748377015124,0.16279069767441862,0.15217391304347827,0.15730337078651685,0.75,218,39,36,7
